Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
Angels,2425,6251,220,769,734,65,0.09,0.20,0.175,0.281,0.247,0.324,0.422,0.316,99,-6.1,-16.9,4.6,20.3
Astros,2309,6394,288,920,891,67,0.10,0.18,0.221,0.296,0.274,0.352,0.495,0.355,125,-9.5,196.6,-2.5,40.8
Athletics,2363,6269,257,845,800,49,0.09,0.21,0.199,0.282,0.249,0.327,0.448,0.327,107,-1.7,53.4,18.3,28.5
Blue Jays,2354,6091,247,726,697,51,0.08,0.25,0.192,0.28,0.236,0.305,0.428,0.31,92,-7,-71.4,-25.7,11.5
Braves,2411,6302,249,855,824,89,0.10,0.23,0.195,0.305,0.258,0.336,0.452,0.332,102,11,26.4,46.2,26.9
Brewers,2514,6309,250,769,744,101,0.10,0.25,0.192,0.296,0.246,0.329,0.438,0.324,97,5.9,-20.2,64.6,24.2
Cardinals,2413,6167,210,764,714,116,0.09,0.23,0.17,0.292,0.245,0.322,0.415,0.314,95,14.4,-30.6,61.4,22.4
Cubs,2429,6195,256,814,783,45,0.09,0.24,0.2,0.297,0.252,0.331,0.452,0.33,102,-2.2,10.3,45,24.9
Diamondbacks,2418,6315,220,813,778,88,0.09,0.22,0.182,0.293,0.252,0.323,0.434,0.319,94,18.3,-32.1,68.5,23.4
Dodgers,2413,6281,279,886,861,57,0.10,0.22,0.215,0.291,0.257,0.338,0.472,0.338,111,11.9,102.9,51.7,34.8
Giants,2493,6170,167,678,655,47,0.08,0.23,0.153,0.29,0.239,0.302,0.392,0.295,83,-3.4,-143.1,46.1,10
Indians,2321,6124,223,769,731,103,0.09,0.22,0.183,0.289,0.25,0.323,0.432,0.319,94,4.3,-45.5,31.9,19.7
Mariners,2347,6199,239,758,730,115,0.10,0.26,0.187,0.287,0.237,0.316,0.424,0.314,98,13.4,0,-50.2,16.4
Marlins,2402,6045,146,615,593,55,0.07,0.24,0.134,0.3,0.241,0.298,0.375,0.288,79,-23.9,-195.2,26.3,2.6
Mets,2445,6290,242,791,767,56,0.08,0.22,0.185,0.299,0.257,0.328,0.442,0.325,104,-17,16.4,21.3,23.5
Nationals,2327,6267,231,873,824,116,0.09,0.21,0.19,0.306,0.265,0.342,0.454,0.336,103,3.7,29,35.8,26
Orioles,2386,6189,213,729,698,84,0.08,0.23,0.168,0.293,0.246,0.31,0.415,0.308,88,2,-89.6,-63.8,6.4
Padres,2413,6019,219,682,652,70,0.08,0.26,0.172,0.293,0.238,0.308,0.41,0.305,88,-11.1,-109.8,52.5,13.4
Phillies,2431,6261,215,774,742,78,0.09,0.23,0.181,0.293,0.246,0.319,0.427,0.314,91,13.8,-59.6,71.3,20.8
Pirates,2441,6228,163,758,722,64,0.07,0.20,0.156,0.309,0.265,0.321,0.42,0.313,92,-4.6,-68,-22.1,10.8
Rangers,2273,6204,223,810,765,131,0.09,0.25,0.183,0.304,0.248,0.319,0.431,0.317,88,12,-86.8,-37.5,9.2
Rays,2459,6285,217,769,730,94,0.09,0.24,0.178,0.306,0.254,0.325,0.431,0.321,102,8.4,27.8,-13,23
Red Sox,2455,6475,245,901,857,68,0.09,0.21,0.197,0.313,0.269,0.34,0.466,0.338,106,-7,43.2,10.9,27.5
Reds,2462,6100,227,701,679,80,0.08,0.24,0.178,0.288,0.244,0.315,0.422,0.312,87,-16.7,-117.9,34.4,11.1
Rockies,2452,6288,224,835,803,71,0.08,0.24,0.19,0.321,0.265,0.326,0.456,0.328,86,1.6,-116.4,16.8,10.1
Royals,2269,6080,162,691,655,117,0.08,0.23,0.154,0.301,0.247,0.309,0.401,0.302,84,-1.7,-124.2,5.4,9.3
Tigers,2316,6039,149,582,556,57,0.07,0.26,0.148,0.308,0.24,0.294,0.388,0.29,77,-6.8,-186.3,-53.8,-2.6
Twins,2320,6392,307,939,906,28,0.08,0.21,0.224,0.3,0.27,0.338,0.494,0.347,116,-8.4,120.2,-26.7,31
White Sox,2311,6042,182,708,676,63,0.06,0.26,0.153,0.329,0.261,0.314,0.414,0.309,93,5.3,-48,-52.2,11
Yankees,2312,6245,306,943,904,55,0.09,0.23,0.222,0.306,0.267,0.339,0.49,0.346,117,-0.8,130.8,-14.5,32.7
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,