Team,wins2019,wins2018,wins2017,wins2016,wins2015
Angels,72,80,80,74,85
Astros,107,103,101,84,86
Athletics,97,97,75,69,68
Blue Jays,67,73,76,68,93
Braves,97,90,72,68,67
Brewers,89,95,86,73,68
Cardinals,91,88,83,86,100
Cubs,84,94,92,103,97
Diamondbacks,85,82,93,69,79
Dodgers,106,91,104,91,92
Giants,77,73,64,87,84
Indians,93,91,102,94,81
Mariners,68,89,78,86,76
Marlins,57,63,77,79,71
Mets,86,77,70,87,90
Nationals,93,82,97,95,83
Orioles,54,47,75,89,81
Padres,70,66,71,68,74
Phillies,81,80,66,71,63
Pirates,69,82,75,78,98
Rangers,78,67,78,95,88
Rays,96,90,80,68,80
Red Sox,84,108,93,93,78
Reds,75,67,68,68,64
Rockies,71,90,87,75,68
Royals,59,58,80,81,95
Tigers,47,64,64,86,74
Twins,101,78,85,59,83
White Sox,72,62,67,78,76
Yankees,103,100,91,84,87